variable	Hazard_Ratio	ci	p.value	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Likelihood_Ratio_AdjPval_BH	Wald_Test_AdjPval_BH	Logrank_Test_AdjPval_BH	Criteria	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	std.error	statistic	nevent	conf.low	conf.high
CD8.CART.UP.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature	0.67	0.48, 0.93	0.016	0.545	0.02	0.02	0.02	0.02	0.02	0.02	High_AboveMedian	CD8.CART.UP.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	CD8.CART.UP.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	49,037	0.169	-2.41	144	0.48	0.93
Lymphvessels	0.67	0.48, 0.93	0.016	0.557	0.02	0.02	0.01	0.02	0.02	0.02	High_AboveMedian	Lymphvessels.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Lymphvessels.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	52,626	0.168	-2.42	144	0.48	0.93
Module3.IFN.score	0.67	0.48, 0.93	0.017	0.55	0.02	0.02	0.02	0.02	0.02	0.02	High_AboveMedian	Module3.IFN.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Module3.IFN.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	54,994	0.169	-2.39	144	0.48	0.93
Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol	0.67	0.48, 0.93	0.018	0.561	0.02	0.02	0.02	0.02	0.02	0.02	High_AboveMedian	Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	56,523	0.169	-2.36	144	0.48	0.93
Th1cells	0.67	0.48, 0.93	0.018	0.549	0.02	0.02	0.02	0.02	0.02	0.02	High_AboveMedian	Th1cells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Th1cells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	55,385	0.169	-2.37	144	0.48	0.93
HER2.Immune.PCA.18006808	0.67	0.48, 0.94	0.019	0.558	0.02	0.02	0.02	0.02	0.02	0.02	High_AboveMedian	HER2.Immune.PCA.18006808.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	HER2.Immune.PCA.18006808.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	55,261	0.169	-2.34	144	0.48	0.94
MILNER.RESIDENCY.TableS8.Crowl.35761084.NatImmunol	0.68	0.49, 0.94	0.02	0.56	0.02	0.02	0.02	0.02	0.02	0.02	High_AboveMedian	MILNER.RESIDENCY.TableS8.Crowl.35761084.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	MILNER.RESIDENCY.TableS8.Crowl.35761084.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	54,660	0.168	-2.33	144	0.49	0.94
TREM1.data	0.68	0.49, 0.94	0.021	0.544	0.02	0.02	0.02	0.02	0.02	0.02	High_AboveMedian	TREM1.data.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	TREM1.data.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	48,187	0.168	-2.32	144	0.49	0.94
CROWL.Residency.TableS8.Crowl.35761084.NatImmunol	0.68	0.49, 0.95	0.022	0.558	0.02	0.02	0.02	0.02	0.02	0.02	High_AboveMedian	CROWL.Residency.TableS8.Crowl.35761084.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	CROWL.Residency.TableS8.Crowl.35761084.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	54,425	0.168	-2.29	144	0.49	0.95
APM2	0.68	0.49, 0.95	0.022	0.555	0.02	0.02	0.02	0.02	0.02	0.02	High_AboveMedian	APM2.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	APM2.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	53,066	0.168	-2.30	144	0.49	0.95
IgG.19272155	0.68	0.49, 0.95	0.023	0.56	0.02	0.02	0.02	0.02	0.02	0.02	High_AboveMedian	IgG.19272155.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	IgG.19272155.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	56,140	0.169	-2.28	144	0.49	0.95
Lung.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport	1.46	1.05, 2.03	0.024	0.551	0.02	0.02	0.02	0.02	0.02	0.02	High_AboveMedian	Lung.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Lung.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	78	35,187	0.168	2.26	144	1.05	2.03
Thelpercells	0.68	0.49, 0.95	0.024	0.537	0.02	0.02	0.02	0.02	0.02	0.02	High_AboveMedian	Thelpercells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Thelpercells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	50,436	0.169	-2.26	144	0.49	0.95
Cytotoxiccells	0.69	0.50, 0.96	0.026	0.567	0.03	0.03	0.03	0.03	0.03	0.03	High_AboveMedian	Cytotoxiccells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Cytotoxiccells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	69	54,936	0.168	-2.22	144	0.50	0.96
IL8.21978456	0.69	0.49, 0.96	0.026	0.538	0.03	0.03	0.03	0.03	0.03	0.03	High_AboveMedian	IL8.21978456.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	IL8.21978456.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	49,539	0.169	-2.22	144	0.49	0.96
MHC2.21978456	0.70	0.51, 0.98	0.035	0.552	0.03	0.03	0.03	0.03	0.03	0.03	High_AboveMedian	MHC2.21978456.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	MHC2.21978456.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	52,930	0.168	-2.11	144	0.51	0.98
Tfhcells	0.70	0.50, 0.98	0.036	0.545	0.04	0.04	0.04	0.04	0.04	0.04	High_AboveMedian	Tfhcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Tfhcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	53,623	0.169	-2.09	144	0.50	0.98
DC	0.71	0.51, 0.98	0.039	0.553	0.04	0.04	0.04	0.04	0.04	0.04	High_AboveMedian	DC.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	DC.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	53,067	0.168	-2.06	144	0.51	0.98
Macrophages	0.71	0.51, 0.99	0.045	0.549	0.04	0.05	0.04	0.05	0.05	0.05	High_AboveMedian	Macrophages.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Macrophages.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	52,743	0.168	-2.00	144	0.51	0.99
Interferon.Cluster.21214954	0.72	0.52, 1.00	0.048	0.544	0.05	0.05	0.05	0.05	0.05	0.05	High_AboveMedian	Interferon.Cluster.21214954.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Interferon.Cluster.21214954.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	54,353	0.168	-1.98	144	0.52	1.00
Lung.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport	0.72	0.52, 1.00	0.051	0.543	0.05	0.05	0.05	0.05	0.05	0.05	High_AboveMedian	Lung.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Lung.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	54,080	0.169	-1.95	144	0.52	1.00
Tcells	0.72	0.52, 1.01	0.054	0.556	0.05	0.05	0.05	0.05	0.05	0.05	High_AboveMedian	Tcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Tcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	70	54,780	0.168	-1.92	144	0.52	1.01
Tregcells	0.74	0.54, 1.03	0.076	0.551	0.08	0.08	0.07	0.08	0.08	0.08	High_AboveMedian	Tregcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Tregcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	117	68	51,258	0.167	-1.78	144	0.54	1.03
TRMstem.Anadon.35427494.SupplTable4	0.75	0.54, 1.04	0.085	0.539	0.08	0.08	0.08	0.08	0.08	0.08	High_AboveMedian	TRMstem.Anadon.35427494.SupplTable4.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	TRMstem.Anadon.35427494.SupplTable4.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	53,580	0.168	-1.72	144	0.54	1.04
Immune.NSCLC.score	0.77	0.55, 1.06	0.11	0.535	0.1	0.1	0.1	0.1	0.1	0.1	High_AboveMedian	Immune.NSCLC.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Immune.NSCLC.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	69	54,164	0.168	-1.59	144	0.55	1.06
TGFΒ.SIGNATURE.TableS8.Crowl.35761084.NatImmunol	0.77	0.56, 1.07	0.12	0.543	0.1	0.1	0.1	0.1	0.1	0.1	High_AboveMedian	TGFΒ.SIGNATURE.TableS8.Crowl.35761084.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	TGFΒ.SIGNATURE.TableS8.Crowl.35761084.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	70	52,800	0.168	-1.53	144	0.56	1.07
Troester.WoundSig.19887484	0.77	0.56, 1.07	0.12	0.541	0.1	0.1	0.1	0.1	0.1	0.1	High_AboveMedian	Troester.WoundSig.19887484.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Troester.WoundSig.19887484.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	48,650	0.167	-1.55	144	0.56	1.07
HBV.specific.CD69posCells.Cluster6and8.Cheng.34270940.Immunity	0.79	0.57, 1.09	0.2	0.528	0.2	0.2	0.2	0.2	0.2	0.2	High_AboveMedian	HBV.specific.CD69posCells.Cluster6and8.Cheng.34270940.Immunity.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	HBV.specific.CD69posCells.Cluster6and8.Cheng.34270940.Immunity.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	51,655	0.168	-1.42	144	0.57	1.09
CD8Tcells	0.80	0.57, 1.11	0.2	0.546	0.2	0.2	0.2	0.2	0.2	0.2	High_AboveMedian	CD8Tcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	CD8Tcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	72	52,647	0.168	-1.35	144	0.57	1.11
Mastcells	0.81	0.59, 1.13	0.2	0.526	0.2	0.2	0.2	0.2	0.2	0.2	High_AboveMedian	Mastcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Mastcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	47,717	0.167	-1.23	144	0.59	1.13
GRANS.PCA.16704732	0.80	0.57, 1.11	0.2	0.549	0.2	0.2	0.2	0.2	0.2	0.2	High_AboveMedian	GRANS.PCA.16704732.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	GRANS.PCA.16704732.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	71	51,044	0.167	-1.36	144	0.57	1.11
Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol	0.85	0.61, 1.17	0.3	0.534	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	70	47,476	0.167	-1.01	144	0.61	1.17
Spleen.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport	1.20	0.86, 1.66	0.3	0.538	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	Spleen.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Spleen.CD4.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	72	38,571	0.167	1.08	144	0.86	1.66
IL13.score.21050467	0.83	0.60, 1.16	0.3	0.523	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	IL13.score.21050467.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	IL13.score.21050467.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	70	51,009	0.167	-1.09	144	0.60	1.16
Module11.Prolif.score	0.83	0.60, 1.15	0.3	0.513	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	Module11.Prolif.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Module11.Prolif.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	45,389	0.167	-1.11	144	0.60	1.15
MCD3.CD8.21214954	0.84	0.60, 1.16	0.3	0.523	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	MCD3.CD8.21214954.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	MCD3.CD8.21214954.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	45,132	0.167	-1.06	144	0.60	1.16
PD1.data	0.85	0.62, 1.19	0.3	0.53	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	PD1.data.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	PD1.data.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	72	51,929	0.167	-0.938	144	0.62	1.19
NKcells	1.20	0.87, 1.67	0.3	0.52	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	NKcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	NKcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	77	43,368	0.167	1.10	144	0.87	1.67
Angiogenesis	0.85	0.62, 1.18	0.3	0.521	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	Angiogenesis.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Angiogenesis.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	69	47,718	0.167	-0.944	144	0.62	1.18
Bcell.mg.IGJ	0.84	0.61, 1.17	0.3	0.513	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	Bcell.mg.IGJ.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Bcell.mg.IGJ.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	48,835	0.167	-1.01	144	0.61	1.17
CSR.Activated.15701700	0.85	0.61, 1.18	0.3	0.528	0.3	0.3	0.3	0.3	0.3	0.3	High_AboveMedian	CSR.Activated.15701700.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	CSR.Activated.15701700.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	70	47,198	0.167	-0.97	144	0.61	1.18
Spleen.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport	1.14	0.82, 1.58	0.4	0.533	0.4	0.4	0.4	0.4	0.4	0.4	High_AboveMedian	Spleen.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Spleen.CD8.CD69pos.Tmem.TableS6.Kumar.28930685.CellReport.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	72	40,716	0.167	0.779	144	0.82	1.58
NKCD56brightcells	0.87	0.62, 1.20	0.4	0.527	0.4	0.4	0.4	0.4	0.4	0.4	High_AboveMedian	NKCD56brightcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	NKCD56brightcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	70	46,986	0.167	-0.867	144	0.62	1.20
Temcells	0.87	0.63, 1.21	0.4	0.525	0.4	0.4	0.4	0.4	0.4	0.4	High_AboveMedian	Temcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Temcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	72	51,171	0.168	-0.804	144	0.63	1.21
Eosinophils	0.88	0.63, 1.22	0.4	0.519	0.4	0.4	0.4	0.4	0.4	0.4	High_AboveMedian	Eosinophils.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Eosinophils.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	69	45,423	0.167	-0.771	144	0.63	1.22
Rotterdam.ERneg.PCA.15721472	1.16	0.84, 1.62	0.4	0.531	0.4	0.4	0.4	0.4	0.4	0.4	High_AboveMedian	Rotterdam.ERneg.PCA.15721472.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Rotterdam.ERneg.PCA.15721472.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	72	39,532	0.167	0.911	144	0.84	1.62
UpInTRM.Mackay.28628092.SupplTable10	0.89	0.64, 1.23	0.5	0.532	0.5	0.5	0.5	0.5	0.5	0.5	High_AboveMedian	UpInTRM.Mackay.28628092.SupplTable10.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	UpInTRM.Mackay.28628092.SupplTable10.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	74	51,667	0.167	-0.708	144	0.64	1.23
Buck14.score	0.89	0.64, 1.23	0.5	0.503	0.5	0.5	0.5	0.5	0.5	0.5	High_AboveMedian	Buck14.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Buck14.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	48,380	0.167	-0.724	144	0.64	1.23
CHANG.CORE.SERUM.RESPONSE.UP	0.89	0.64, 1.24	0.5	0.51	0.5	0.5	0.5	0.5	0.5	0.5	High_AboveMedian	CHANG.CORE.SERUM.RESPONSE.UP.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	CHANG.CORE.SERUM.RESPONSE.UP.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	43,270	0.167	-0.692	144	0.64	1.24
Tcmcells	0.90	0.65, 1.25	0.5	0.517	0.5	0.5	0.5	0.5	0.5	0.5	High_AboveMedian	Tcmcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Tcmcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	70	47,026	0.167	-0.636	144	0.65	1.25
UP.IN.TCM.VS.TEM.TableS8.Crowl.35761084.NatImmunol	1.10	0.79, 1.52	0.6	0.512	0.6	0.6	0.6	0.6	0.6	0.6	High_AboveMedian	UP.IN.TCM.VS.TEM.TableS8.Crowl.35761084.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	UP.IN.TCM.VS.TEM.TableS8.Crowl.35761084.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	73	40,484	0.167	0.564	144	0.79	1.52
TGFB.score.21050467	1.08	0.78, 1.49	0.7	0.506	0.7	0.7	0.7	0.7	0.7	0.7	High_AboveMedian	TGFB.score.21050467.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	TGFB.score.21050467.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	74	43,126	0.167	0.441	144	0.78	1.49
Th17cells	0.93	0.67, 1.29	0.7	0.511	0.7	0.7	0.7	0.7	0.7	0.7	High_AboveMedian	Th17cells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Th17cells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	72	49,123	0.167	-0.414	144	0.67	1.29
LYMPHS.PCA.16704732	0.94	0.68, 1.30	0.7	0.516	0.7	0.7	0.7	0.7	0.7	0.7	High_AboveMedian	LYMPHS.PCA.16704732.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	LYMPHS.PCA.16704732.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	71	44,938	0.167	-0.387	144	0.68	1.30
UP.IN.TEM.VS.TCM.TableS8.Crowl.35761084.NatImmunol	0.98	0.71, 1.37	0.9	0.517	0.9	0.9	0.9	0.9	0.9	0.9	High_AboveMedian	UP.IN.TEM.VS.TCM.TableS8.Crowl.35761084.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	UP.IN.TEM.VS.TCM.TableS8.Crowl.35761084.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	76	49,472	0.167	-0.096	144	0.71	1.37
